scaffold,coverage
NODE_187_length_3069_cov_2.226941,2.758237123
NODE_188_length_3066_cov_2.314181,2.691945076
NODE_189_length_3065_cov_2.578738,3.41705966
NODE_190_length_3064_cov_2.777667,3.428387642
NODE_191_length_3063_cov_2.866689,3.806091785
NODE_192_length_3045_cov_3.365552,4.148899555
NODE_193_length_3030_cov_2.321008,2.836805582
NODE_194_length_3028_cov_2.876219,3.723090172
NODE_195_length_3025_cov_3.786869,4.860495567
NODE_196_length_3008_cov_2.226888,2.9283216
NODE_197_length_2999_cov_2.730978,3.621657133
NODE_198_length_2998_cov_2.839280,3.617543936
NODE_199_length_2991_cov_2.771117,3.568851709
NODE_200_length_2983_cov_2.375342,3.23202467
NODE_201_length_2982_cov_3.164332,4.15754652
NODE_202_length_2979_cov_2.046854,2.750110388
NODE_203_length_2968_cov_3.146928,4.21985817
NODE_204_length_2963_cov_2.930536,3.681474924
NODE_205_length_2954_cov_2.343222,2.71880579
NODE_206_length_2946_cov_2.503632,3.337801695
NODE_207_length_2930_cov_2.972522,3.969424486
NODE_208_length_2929_cov_3.017397,3.765393257
NODE_209_length_2929_cov_2.671190,3.545168638
NODE_210_length_2928_cov_1.958928,2.553956747
NODE_211_length_2928_cov_1.816916,2.296762705
NODE_212_length_2923_cov_3.244073,4.134745598
NODE_213_length_2913_cov_2.837299,3.837630033
NODE_214_length_2912_cov_3.354218,4.444796562
NODE_215_length_2900_cov_2.042531,2.692727327
NODE_216_length_2894_cov_3.918633,4.880692005
NODE_217_length_2885_cov_2.491519,3.306075811
NODE_218_length_2885_cov_2.296820,2.984010935
NODE_219_length_2883_cov_2.841231,3.578418016
NODE_220_length_2878_cov_3.129649,4.195970535
NODE_221_length_2875_cov_3.086879,3.884456635
NODE_222_length_2874_cov_2.913444,3.768807411
NODE_223_length_2854_cov_49.045373,60.41820526
NODE_224_length_2853_cov_2.161187,2.817383289
NODE_225_length_2845_cov_2.737634,3.674084425
NODE_226_length_2835_cov_2.700360,3.432759523
NODE_227_length_2835_cov_2.270144,3.128431797
NODE_228_length_2826_cov_3.444966,4.365546227
NODE_229_length_2818_cov_3.389794,4.498595715
NODE_230_length_2818_cov_2.129569,2.704119921
NODE_231_length_2814_cov_3.341428,4.104596615
NODE_232_length_2812_cov_2.437795,3.197652578
NODE_233_length_2809_cov_3.122731,3.980272532
NODE_234_length_2798_cov_2.656580,3.383962154
NODE_235_length_2794_cov_2.031398,2.748109579
NODE_236_length_2792_cov_2.312751,2.880321741
NODE_237_length_2784_cov_2.877611,3.867647171
